type,client,tx,amount
deposit,34712,4200000070,767.1371
deposit,45199,4200000071,943.8727
deposit,64032,4200000072,560.7085
deposit,46252,4200000073,804.5372
deposit,33434,4200000074,683.2217
deposit,40283,4200000075,584.9504
deposit,17078,4200000076,990.8047
deposit,34467,4200000077,727.3707
deposit,14069,4200000078,929.5172
deposit,56444,4200000079,889.3412
deposit,36940,4200000080,928.3344
deposit,18695,4200000081,591.5569
deposit,23233,4200000082,740.0455
deposit,35038,4200000083,967.5559
deposit,43257,4200000084,562.7867
deposit,33639,4200000085,791.7265
deposit,22550,4200000086,633.2153
deposit,15753,4200000087,721.9326
deposit,49418,4200000088,563.5785
deposit,44795,4200000089,893.6444
deposit,24564,4200000090,767.3654
deposit,38482,4200000091,988.5732
deposit,37281,4200000092,596.7919
deposit,34544,4200000093,585.1881
deposit,41564,4200000094,738.8647
deposit,8290,4200000095,929.4973
deposit,41689,4200000096,743.5028
deposit,24748,4200000097,562.7235
deposit,42040,4200000098,515.6301
deposit,51554,4200000099,615.8867
deposit,51160,4200000100,737.2667
deposit,24333,4200000101,569.5064
deposit,54068,4200000102,532.6208
deposit,37458,4200000103,502.9367
deposit,57099,4200000104,618.1902
deposit,21231,4200000105,774.4715
deposit,24632,4200000106,907.7135
deposit,64301,4200000107,676.3906
deposit,46745,4200000108,747.0612
deposit,28273,4200000109,846.0598
deposit,25235,4200000110,586.7204
deposit,30809,4200000111,729.8324
deposit,6628,4200000112,751.4135
deposit,61806,4200000113,574.8765
deposit,23626,4200000114,517.0123
deposit,41614,4200000115,830.6478
deposit,39557,4200000116,764.4945
deposit,65046,4200000117,642.1435
deposit,33297,4200000118,630.1011
deposit,44499,4200000119,738.1123
deposit,17894,4200000120,534.1845
deposit,7353,4200000121,831.7263
deposit,18759,4200000122,615.967
deposit,45845,4200000123,852.2086
deposit,47584,4200000124,618.5343
deposit,8721,4200000125,626.7843
deposit,51405,4200000126,689.4972
deposit,50292,4200000127,765.2851
deposit,36747,4200000128,831.8634
deposit,9559,4200000129,752.5514
deposit,10196,4200000130,507.4693
deposit,10053,4200000131,604.5944
deposit,20950,4200000132,707.065
deposit,54967,4200000133,994.3576
deposit,52485,4200000134,911.3082
deposit,47191,4200000135,639.262
deposit,33326,4200000136,877.6062
deposit,19526,4200000137,657.4254
deposit,24856,4200000138,842.2815
deposit,8174,4200000139,886.0999
deposit,17989,4200000140,584.413
deposit,9348,4200000141,662.8797
deposit,24975,4200000142,829.7076
deposit,31310,4200000143,941.6733
deposit,30028,4200000144,967.2353
deposit,52193,4200000145,674.6658
deposit,19512,4200000146,767.4562
deposit,15696,4200000147,669.6513
deposit,46032,4200000148,687.484
deposit,30703,4200000149,526.4824
deposit,16389,4200000150,897.5229
deposit,51443,4200000151,752.312
deposit,52492,4200000152,764.8595
deposit,7765,4200000153,577.8994
deposit,53209,4200000154,703.638
deposit,37060,4200000155,561.7916
deposit,31345,4200000156,803.6405
deposit,17105,4200000157,973.9173
deposit,42042,4200000158,541.5701
deposit,30692,4200000159,828.1188
deposit,21091,4200000160,501.3631
deposit,8771,4200000161,756.3836
deposit,60569,4200000162,928.5005
deposit,52387,4200000163,504.2066
deposit,37637,4200000164,731.6668
deposit,61547,4200000165,500.7925
deposit,34379,4200000166,964.2019
deposit,38800,4200000167,566.5064
deposit,41076,4200000168,921.1758
deposit,61034,4200000169,933.9217
deposit,53668,4200000170,665.3855
deposit,12508,4200000171,782.0765
deposit,15831,4200000172,994.2122
deposit,46891,4200000173,874.4774
deposit,43765,4200000174,978.2611
deposit,9044,4200000175,774.5519
deposit,48513,4200000176,989.8384
deposit,7637,4200000177,508.6311
deposit,36856,4200000178,510.6529
deposit,14912,4200000179,923.5614
deposit,31489,4200000180,533.5901
deposit,42701,4200000181,602.8408
deposit,62372,4200000182,849.9281
deposit,39693,4200000183,823.2222
deposit,27877,4200000184,896.0455
deposit,33949,4200000185,830.4931
deposit,14905,4200000186,807.5412
deposit,64630,4200000187,772.307
deposit,50810,4200000188,837.8504
deposit,51817,4200000189,515.9258
deposit,49695,4200000190,506.3028
deposit,25809,4200000191,818.611
deposit,26252,4200000192,954.2501
deposit,35390,4200000193,991.3583
deposit,40557,4200000194,817.8114
deposit,10303,4200000195,752.0329
deposit,53605,4200000196,640.6626
deposit,28464,4200000197,734.1732
deposit,56078,4200000198,834.0387
deposit,30618,4200000199,963.2924
deposit,30642,4200000200,749.5468
deposit,42985,4200000201,827.8347
deposit,28182,4200000202,704.9262
deposit,61537,4200000203,842.2039
deposit,58936,4200000204,988.3461
deposit,46832,4200000205,600.2191
deposit,10352,4200000206,549.9483
deposit,46902,4200000207,769.5478
deposit,35415,4200000208,983.9453
deposit,19656,4200000209,795.9134
deposit,12939,4200000210,666.922
deposit,61449,4200000211,962.0778
deposit,22056,4200000212,764.6832
deposit,55967,4200000213,563.4478
deposit,30772,4200000214,835.3725
deposit,63767,4200000215,560.2302
deposit,55424,4200000216,638.0569
deposit,14614,4200000217,986.8923
deposit,63884,4200000218,837.8275
deposit,13841,4200000219,671.9166
deposit,19082,4200000220,508.2859
deposit,36549,4200000221,812.2447
deposit,12986,4200000222,676.3308
deposit,59512,4200000223,876.0197
deposit,7428,4200000224,550.5775
deposit,47532,4200000225,759.3304
deposit,33721,4200000226,889.4048
deposit,53863,4200000227,897.0068
deposit,43633,4200000228,743.1388
deposit,53163,4200000229,926.3246
deposit,36986,4200000230,852.2268
deposit,32444,4200000231,845.9492
deposit,46137,4200000232,659.8953
deposit,58315,4200000233,731.8302
deposit,46931,4200000234,897.9364
deposit,57951,4200000235,656.0868
deposit,24057,4200000236,943.2234
deposit,18773,4200000237,890.7552
deposit,47202,4200000238,603.1424
deposit,40268,4200000239,774.3095
deposit,19493,4200000240,947.2193
deposit,31617,4200000241,576.5033
deposit,34424,4200000242,701.8788
deposit,64262,4200000243,654.0512
deposit,45876,4200000244,952.2171
deposit,57764,4200000245,939.6196
deposit,10995,4200000246,510.614
deposit,58198,4200000247,953.2744
deposit,53351,4200000248,620.0483
deposit,30758,4200000249,591.208
deposit,50347,4200000250,654.467
deposit,48581,4200000251,886.0388
deposit,22130,4200000252,658.6174
deposit,49102,4200000253,640.5943
deposit,53909,4200000254,815.1215
deposit,15329,4200000255,641.7647
deposit,50385,4200000256,979.6878
deposit,13509,4200000257,524.3918
deposit,56014,4200000258,992.9483
deposit,31803,4200000259,770.0182
deposit,46342,4200000260,538.1555
deposit,53608,4200000261,612.175
deposit,56316,4200000262,818.9815
deposit,38517,4200000263,721.4628
deposit,32752,4200000264,524.3855
deposit,29100,4200000265,504.4959
deposit,53676,4200000266,631.2076
deposit,43212,4200000267,873.8192
deposit,19261,4200000268,910.1772
deposit,33069,4200000269,915.8658
deposit,59499,4200000270,920.7383
deposit,36735,4200000271,845.4651
deposit,15286,4200000272,929.2537
deposit,24461,4200000273,964.1524
deposit,61947,4200000274,916.5664
deposit,41456,4200000275,888.2053
deposit,21795,4200000276,972.46
deposit,33608,4200000277,754.1209
deposit,58151,4200000278,954.0718
deposit,34203,4200000279,617.6158
deposit,19677,4200000280,553.186
deposit,12430,4200000281,924.5204
deposit,51820,4200000282,783.0637
deposit,21860,4200000283,989.7148
deposit,32520,4200000284,602.912
deposit,31956,4200000285,514.6078
deposit,27522,4200000286,615.113
deposit,64536,4200000287,974.4149
deposit,48498,4200000288,500.4947
deposit,29860,4200000289,634.9948
deposit,7464,4200000290,579.7283
deposit,47775,4200000291,531.627
deposit,39403,4200000292,519.6527
deposit,51593,4200000293,891.7515
deposit,64225,4200000294,960.6958
deposit,57945,4200000295,614.7153
deposit,28807,4200000296,761.5033
deposit,57673,4200000297,511.2445
deposit,56669,4200000298,763.184
deposit,18593,4200000299,853.8918
deposit,8763,4200000300,581.879
deposit,60946,4200000301,961.0107
deposit,12492,4200000302,550.85
deposit,29081,4200000303,820.636
deposit,47747,4200000304,700.6982
deposit,10329,4200000305,786.0129
deposit,55465,4200000306,857.8949
deposit,14759,4200000307,803.2238
deposit,29347,4200000308,988.3629
deposit,30919,4200000309,636.7644
deposit,52777,4200000310,708.3804
deposit,18256,4200000311,766.7104
deposit,48581,4200000312,606.7543
deposit,21744,4200000313,908.7728
deposit,12666,4200000314,694.728
deposit,15630,4200000315,779.1367
deposit,56262,4200000316,833.2068
deposit,36195,4200000317,959.0484
deposit,62763,4200000318,549.6981
deposit,11083,4200000319,939.4931
deposit,49649,4200000320,887.8605
deposit,41492,4200000321,936.9023
deposit,55686,4200000322,633.7848
deposit,43957,4200000323,641.0117
deposit,24131,4200000324,566.1295
deposit,24072,4200000325,694.1011
deposit,28595,4200000326,769.3675
deposit,16406,4200000327,593.3542
deposit,41470,4200000328,656.2205
deposit,16161,4200000329,939.3212
deposit,39440,4200000330,998.6269
deposit,7662,4200000331,778.9511
deposit,35795,4200000332,656.6022
deposit,51247,4200000333,862.8764
deposit,8830,4200000334,824.0127
deposit,7757,4200000335,878.7933
deposit,63917,4200000336,987.0095
deposit,41295,4200000337,931.0342
deposit,11576,4200000338,678.707
deposit,14694,4200000339,877.5488
deposit,13554,4200000340,867.9509
deposit,47685,4200000341,688.2271
deposit,46534,4200000342,955.1662
deposit,50086,4200000343,543.7456
deposit,38995,4200000344,681.5231
deposit,31359,4200000345,551.2799
deposit,47949,4200000346,641.035
deposit,28389,4200000347,959.3127
deposit,58510,4200000348,716.2856
deposit,36486,4200000349,736.7598
deposit,39593,4200000350,895.4067
deposit,19660,4200000351,912.0068
deposit,33986,4200000352,903.087
deposit,48447,4200000353,685.8074
deposit,26560,4200000354,840.0984
deposit,25557,4200000355,833.662
deposit,56574,4200000356,843.7818
deposit,45836,4200000357,574.5791
deposit,61630,4200000358,763.5865
deposit,29441,4200000359,564.0457
deposit,32061,4200000360,813.1789
deposit,56981,4200000361,873.5252
deposit,59281,4200000362,980.101
deposit,31969,4200000363,516.5398
deposit,36336,4200000364,668.1558
deposit,50323,4200000365,558.4262
deposit,27502,4200000366,849.9876
deposit,30313,4200000367,979.4613
deposit,28162,4200000368,746.2908
deposit,28711,4200000369,784.7981
deposit,28554,4200000370,502.9688
deposit,42692,4200000371,786.496
deposit,10888,4200000372,678.1633
deposit,17725,4200000373,712.9471
deposit,46679,4200000374,524.9254
deposit,8727,4200000375,960.8829
deposit,60775,4200000376,537.9774
deposit,64245,4200000377,630.7435
deposit,32702,4200000378,889.3421
deposit,23604,4200000379,776.8461
deposit,28364,4200000380,528.9786
deposit,53893,4200000381,885.1603
deposit,13496,4200000382,562.1813
deposit,14990,4200000383,995.0131
deposit,46507,4200000384,654.4452
deposit,21287,4200000385,789.2271
deposit,6702,4200000386,845.7438
deposit,31759,4200000387,977.6058
deposit,48331,4200000388,735.2301
deposit,18397,4200000389,721.3441
deposit,39571,4200000390,733.867
deposit,19685,4200000391,662.657
deposit,19490,4200000392,992.6968
deposit,16915,4200000393,990.7723
deposit,10285,4200000394,821.1197
deposit,39383,4200000395,836.1242
deposit,15228,4200000396,975.971
deposit,63007,4200000397,671.5088
deposit,54973,4200000398,866.7472
deposit,52199,4200000399,944.4099
deposit,35556,4200000400,827.4013
deposit,40758,4200000401,848.8377
deposit,65165,4200000402,841.0096
deposit,55970,4200000403,672.532
deposit,62150,4200000404,768.9906
deposit,6608,4200000405,687.0018
deposit,26144,4200000406,637.504
deposit,37693,4200000407,950.3719
deposit,49139,4200000408,837.3829
deposit,35736,4200000409,501.8156
deposit,64922,4200000410,771.3353
deposit,14808,4200000411,527.0499
deposit,48975,4200000412,937.8788
deposit,22079,4200000413,510.8032
deposit,58770,4200000414,600.1865
deposit,18412,4200000415,631.5236
deposit,49088,4200000416,662.1364
deposit,14453,4200000417,526.0184
deposit,21898,4200000418,723.4366
deposit,45515,4200000419,578.3627
deposit,9322,4200000420,628.7769
deposit,17112,4200000421,771.116
deposit,12410,4200000422,893.2281
deposit,22220,4200000423,667.0461
deposit,12102,4200000424,817.5859
deposit,23292,4200000425,738.7653
deposit,28716,4200000426,519.131
deposit,53529,4200000427,562.0432
deposit,13344,4200000428,844.1063
deposit,21059,4200000429,749.7344
deposit,52486,4200000430,500.7294
deposit,13383,4200000431,691.4074
deposit,16001,4200000432,563.3211
deposit,38872,4200000433,517.8879
deposit,58819,4200000434,540.2817
deposit,38232,4200000435,519.0361
deposit,35697,4200000436,501.7775
deposit,49037,4200000437,796.617
deposit,51689,4200000438,980.2583
deposit,49967,4200000439,533.9472
deposit,48092,4200000440,846.7753
deposit,62570,4200000441,586.9573
deposit,63868,4200000442,682.9656
deposit,11506,4200000443,734.9304
deposit,13348,4200000444,553.0124
deposit,58825,4200000445,895.2336
deposit,40621,4200000446,598.9784
deposit,41088,4200000447,616.0338
deposit,53258,4200000448,615.8303
deposit,59052,4200000449,561.8368
deposit,59711,4200000450,690.7373
deposit,55530,4200000451,984.253
deposit,64384,4200000452,623.8335
deposit,11968,4200000453,766.1381
deposit,23430,4200000454,654.7704
deposit,29988,4200000455,806.3578
deposit,47925,4200000456,819.2181
deposit,45723,4200000457,561.2516
deposit,64944,4200000458,777.9047
deposit,30204,4200000459,753.7446
deposit,38194,4200000460,646.8115
deposit,22065,4200000461,769.736
deposit,38564,4200000462,903.3626
deposit,24712,4200000463,530.3362
deposit,33618,4200000464,911.0481
deposit,19891,4200000465,694.4519
deposit,39110,4200000466,925.2874
deposit,8075,4200000467,509.6258
deposit,32308,4200000468,711.0118
deposit,39728,4200000469,586.4051
deposit,56066,4200000470,888.2369
deposit,8678,4200000471,636.5578
deposit,37801,4200000472,671.5427
deposit,58222,4200000473,988.6735
deposit,19116,4200000474,513.0738
deposit,14953,4200000475,510.0234
deposit,10171,4200000476,666.4956
deposit,53664,4200000477,993.9219
deposit,10550,4200000478,636.9106
deposit,37948,4200000479,742.3042
deposit,36097,4200000480,578.3121
deposit,8469,4200000481,555.3224
deposit,42335,4200000482,887.8288
deposit,22462,4200000483,977.5308
deposit,38672,4200000484,854.7855
deposit,36132,4200000485,976.4168
deposit,42609,4200000486,851.0963
deposit,51788,4200000487,613.7814
deposit,27149,4200000488,613.8027
deposit,26216,4200000489,788.2511
deposit,59211,4200000490,894.8193
deposit,63049,4200000491,587.2193
deposit,48242,4200000492,717.2682
deposit,61302,4200000493,544.1821
deposit,9503,4200000494,882.2525
deposit,11240,4200000495,811.1652
deposit,38389,4200000496,527.1958
deposit,43051,4200000497,962.6083
deposit,29625,4200000498,525.9409
deposit,29014,4200000499,630.2461
deposit,60570,4200000500,772.3013
deposit,45057,4200000501,542.9654
deposit,65270,4200000502,958.0791
deposit,48920,4200000503,551.8786
deposit,57430,4200000504,637.7003
deposit,36310,4200000505,848.0103
deposit,59331,4200000506,733.599
deposit,26460,4200000507,694.4222
deposit,61875,4200000508,868.187
deposit,20707,4200000509,599.7976
deposit,25596,4200000510,881.8021
deposit,50501,4200000511,689.9431
deposit,11571,4200000512,945.4446
deposit,52806,4200000513,910.8492
deposit,55022,4200000514,915.8636
deposit,56520,4200000515,525.1597
deposit,54371,4200000516,502.3998
deposit,59494,4200000517,940.3574
deposit,26731,4200000518,543.1909
deposit,51496,4200000519,611.3344
deposit,24552,4200000520,551.6518
deposit,54888,4200000521,857.534
deposit,35575,4200000522,904.2121
deposit,62638,4200000523,750.1762
deposit,63683,4200000524,780.1622
deposit,62614,4200000525,755.0343
deposit,9043,4200000526,929.8428
deposit,21766,4200000527,880.3649
deposit,23128,4200000528,677.2908
deposit,15391,4200000529,556.9102
deposit,31327,4200000530,753.6606
deposit,62935,4200000531,500.4243
deposit,34312,4200000532,927.301
deposit,30982,4200000533,945.5298
deposit,28554,4200000534,899.2109
deposit,31257,4200000535,686.6668
deposit,20755,4200000536,979.9186
deposit,19142,4200000537,849.9094
deposit,13504,4200000538,740.6268
deposit,29667,4200000539,636.2913
deposit,19242,4200000540,789.1737
deposit,44200,4200000541,617.7678
deposit,37094,4200000542,932.9371
deposit,26879,4200000543,715.9259
deposit,48164,4200000544,569.5059
deposit,23761,4200000545,674.8426
deposit,11418,4200000546,564.1309
deposit,40771,4200000547,542.8805
deposit,54757,4200000548,574.793
deposit,33745,4200000549,840.2144
deposit,21638,4200000550,926.619
deposit,32869,4200000551,815.3062
deposit,31989,4200000552,992.5498
deposit,9748,4200000553,691.7044
deposit,58572,4200000554,604.9973
deposit,58865,4200000555,836.8046
deposit,60845,4200000556,658.2474
deposit,11448,4200000557,883.5503
deposit,64325,4200000558,977.948
deposit,35666,4200000559,778.3479
deposit,35017,4200000560,812.3017
deposit,18892,4200000561,529.6545
deposit,15379,4200000562,733.7034
deposit,10158,4200000563,667.4311
deposit,29370,4200000564,682.3565
deposit,12648,4200000565,875.6308
deposit,54608,4200000566,790.0431
deposit,25356,4200000567,658.154
deposit,20112,4200000568,856.1938
deposit,14214,4200000569,866.235
deposit,24298,4200000570,767.5436
deposit,45346,4200000571,903.3682
deposit,19696,4200000572,584.0408
deposit,45876,4200000573,878.8276
deposit,42299,4200000574,825.4118
deposit,39133,4200000575,779.8479
deposit,13706,4200000576,894.2159
deposit,39520,4200000577,761.978
deposit,53696,4200000578,571.0396
deposit,16878,4200000579,760.2282
deposit,24553,4200000580,937.7498
deposit,33579,4200000581,622.6017
deposit,58810,4200000582,540.776
deposit,9093,4200000583,743.3149
deposit,25135,4200000584,752.2346
deposit,13265,4200000585,790.9388
deposit,11510,4200000586,923.0327
deposit,8372,4200000587,978.7888
deposit,24183,4200000588,785.8335
deposit,27676,4200000589,647.8998
deposit,17980,4200000590,744.5723
deposit,57804,4200000591,992.7761
deposit,13978,4200000592,694.1466
deposit,16880,4200000593,513.9665
deposit,49077,4200000594,706.4319
deposit,8560,4200000595,701.0473
deposit,61726,4200000596,996.2416
deposit,56414,4200000597,884.5366
deposit,21877,4200000598,600.898
deposit,31514,4200000599,516.1114
deposit,13708,4200000600,624.9544
deposit,63203,4200000601,697.6652
deposit,47289,4200000602,624.676
deposit,44990,4200000603,500.727
deposit,44546,4200000604,515.466
deposit,51780,4200000605,618.1414
deposit,50140,4200000606,589.0446
deposit,14854,4200000607,766.2064
deposit,31126,4200000608,957.9213
deposit,25606,4200000609,558.7475
deposit,43859,4200000610,716.6227
deposit,57303,4200000611,809.0856
deposit,59124,4200000612,712.7799
deposit,19772,4200000613,931.0863
deposit,38112,4200000614,794.1838
deposit,9170,4200000615,759.9864
deposit,48461,4200000616,927.606
deposit,56542,4200000617,709.5357
deposit,8607,4200000618,897.5092
deposit,11850,4200000619,537.6186
deposit,23065,4200000620,646.0156
deposit,34008,4200000621,738.0126
deposit,11022,4200000622,536.9763
deposit,27019,4200000623,862.5988
deposit,57787,4200000624,891.3503
deposit,61290,4200000625,525.0743
deposit,61109,4200000626,587.769
deposit,62295,4200000627,744.853
deposit,38213,4200000628,648.0274
deposit,16462,4200000629,964.3313
deposit,61216,4200000630,734.2843
deposit,54350,4200000631,941.0755
deposit,13593,4200000632,827.621
deposit,56217,4200000633,948.14
deposit,25844,4200000634,961.7158
deposit,19259,4200000635,788.3849
deposit,60482,4200000636,868.0677
deposit,27005,4200000637,886.4262
deposit,41466,4200000638,944.4321
deposit,60775,4200000639,510.6817
deposit,47208,4200000640,523.4666
deposit,30495,4200000641,802.3385
deposit,30354,4200000642,1000.8431
deposit,42727,4200000643,521.5814
deposit,25861,4200000644,584.2116
deposit,61842,4200000645,545.1881
deposit,16868,4200000646,762.8739
deposit,47984,4200000647,855.7813
deposit,13812,4200000648,645.308
deposit,28244,4200000649,625.5897
deposit,44260,4200000650,627.8809
deposit,55278,4200000651,859.5384
deposit,32647,4200000652,616.1599
deposit,9926,4200000653,986.8231
deposit,20734,4200000654,703.9868
deposit,20298,4200000655,906.9992
deposit,35383,4200000656,927.0848
deposit,59693,4200000657,971.277
deposit,63129,4200000658,874.6362
deposit,44565,4200000659,658.3177
deposit,23540,4200000660,604.1727
deposit,12272,4200000661,853.112
deposit,26951,4200000662,628.322
deposit,40487,4200000663,811.2221
deposit,8697,4200000664,869.4535
deposit,9822,4200000665,847.0013
deposit,60210,4200000666,960.8205
deposit,35952,4200000667,941.4519
deposit,15779,4200000668,630.2042
deposit,27860,4200000669,815.4722
deposit,53724,4200000670,660.2307
deposit,56221,4200000671,890.9647
deposit,30041,4200000672,914.8423
deposit,21026,4200000673,647.7456
deposit,35545,4200000674,819.0608
deposit,23232,4200000675,788.7295
deposit,23017,4200000676,527.0151
deposit,36079,4200000677,755.9669
deposit,19761,4200000678,684.2845
deposit,44375,4200000679,927.8065
deposit,53013,4200000680,899.6958
deposit,8740,4200000681,522.0151
deposit,17178,4200000682,980.7274
deposit,35943,4200000683,967.8921
deposit,11488,4200000684,777.6689
deposit,57329,4200000685,725.3456
deposit,25414,4200000686,919.5884
deposit,7942,4200000687,754.6126
deposit,52736,4200000688,883.2989
deposit,51948,4200000689,601.4523
deposit,35176,4200000690,891.8025
deposit,30140,4200000691,544.6486
deposit,43263,4200000692,635.4969
deposit,43176,4200000693,820.4242
deposit,34365,4200000694,750.6823
deposit,20726,4200000695,507.0409
deposit,29454,4200000696,687.9632
deposit,29103,4200000697,820.0943
deposit,57103,4200000698,762.1418
deposit,17761,4200000699,861.6709
deposit,46535,4200000700,752.9059
deposit,57860,4200000701,946.2473
deposit,43861,4200000702,972.4092
deposit,57159,4200000703,982.9007
deposit,53237,4200000704,602.0833
deposit,56792,4200000705,682.7115
deposit,31202,4200000706,836.2212
deposit,64625,4200000707,771.3459
deposit,8081,4200000708,921.8653
deposit,24623,4200000709,793.6581
deposit,16880,4200000710,546.9424
deposit,56670,4200000711,870.734
deposit,33951,4200000712,741.1805
deposit,49907,4200000713,590.323
deposit,28192,4200000714,916.7954
deposit,29897,4200000715,573.097
deposit,65271,4200000716,815.7252
deposit,20040,4200000717,838.0715
deposit,52765,4200000718,883.4866
deposit,7682,4200000719,958.3719
deposit,27231,4200000720,711.0026
deposit,31695,4200000721,830.3292
deposit,60601,4200000722,520.675
deposit,60249,4200000723,647.0052
deposit,32132,4200000724,564.19
deposit,40458,4200000725,873.6671
deposit,34156,4200000726,917.8969
deposit,62983,4200000727,880.3731
deposit,62361,4200000728,664.9048
deposit,7351,4200000729,981.6301
deposit,25009,4200000730,996.9537
deposit,34739,4200000731,636.6446
deposit,45141,4200000732,647.6635
deposit,50147,4200000733,990.0143
deposit,25915,4200000734,901.2209
deposit,33085,4200000735,868.0267
deposit,31726,4200000736,846.8038
deposit,11041,4200000737,618.5194
deposit,33622,4200000738,904.3699
deposit,29654,4200000739,953.7127
deposit,47843,4200000740,629.5327
deposit,49058,4200000741,550.4509
deposit,23343,4200000742,838.6744
deposit,36062,4200000743,649.4212
deposit,65002,4200000744,860.5957
deposit,7871,4200000745,586.07
deposit,11701,4200000746,777.7002
deposit,27552,4200000747,817.3508
deposit,35755,4200000748,907.1967
deposit,51462,4200000749,833.6022
deposit,19211,4200000750,830.7874
deposit,6887,4200000751,933.8125
deposit,29020,4200000752,971.8027
deposit,12040,4200000753,945.3921
deposit,61395,4200000754,686.7051
deposit,38680,4200000755,728.6876
deposit,52625,4200000756,1000.4711
deposit,26402,4200000757,824.7693
deposit,38904,4200000758,899.963
deposit,59495,4200000759,790.3308
deposit,41017,4200000760,752.0894
deposit,65033,4200000761,546.7511
deposit,38749,4200000762,606.4108
deposit,11644,4200000763,500.3637
deposit,27937,4200000764,870.0801
deposit,23895,4200000765,559.2799
deposit,38928,4200000766,833.0909
deposit,12842,4200000767,852.7412
deposit,46147,4200000768,787.6186
deposit,40798,4200000769,980.6845
deposit,58534,4200000770,571.965
deposit,55534,4200000771,502.6512
deposit,35727,4200000772,931.8857
deposit,48938,4200000773,954.7972
deposit,14693,4200000774,575.5954
deposit,54242,4200000775,753.7217
deposit,63257,4200000776,565.6028
deposit,25182,4200000777,551.0238
deposit,60298,4200000778,623.999
deposit,8926,4200000779,629.8946
deposit,34274,4200000780,621.2124
deposit,43286,4200000781,630.288
deposit,12741,4200000782,675.9768
deposit,18223,4200000783,862.6777
deposit,47365,4200000784,629.2962
deposit,44983,4200000785,948.3888
deposit,36175,4200000786,937.3434
deposit,50938,4200000787,520.8782
deposit,13125,4200000788,608.5889
deposit,62878,4200000789,796.167
deposit,15905,4200000790,779.8324
deposit,64547,4200000791,549.4412
deposit,57714,4200000792,766.6571
deposit,58549,4200000793,694.9887
deposit,18471,4200000794,908.2288
deposit,28700,4200000795,961.5492
deposit,40377,4200000796,726.3316
deposit,63206,4200000797,998.037
deposit,36539,4200000798,504.4433
deposit,38371,4200000799,865.9241
deposit,55938,4200000800,692.7325
deposit,64375,4200000801,584.3465
deposit,56743,4200000802,852.962
deposit,40845,4200000803,895.7455
deposit,14434,4200000804,645.8716
deposit,24895,4200000805,839.9061
deposit,26644,4200000806,513.5821
deposit,27888,4200000807,520.9814
deposit,44808,4200000808,676.4068
deposit,36848,4200000809,519.7964
deposit,36252,4200000810,697.0447
deposit,28215,4200000811,937.9881
deposit,59912,4200000812,873.7849
deposit,33540,4200000813,568.0923
deposit,63015,4200000814,752.5058
deposit,60598,4200000815,965.7821
deposit,7271,4200000816,670.1694
deposit,21996,4200000817,863.6873
deposit,62894,4200000818,734.0528
deposit,20341,4200000819,837.3154
deposit,60395,4200000820,687.761
deposit,12457,4200000821,791.1803
deposit,61095,4200000822,716.3816
deposit,53421,4200000823,823.8927
deposit,38524,4200000824,588.232
deposit,29061,4200000825,923.1053
deposit,22254,4200000826,582.8738
